ababa	a bab a
ukukwenzela	u ku kw enz el a
ukulesisimo	u ku le si si m o
ukulibona	u ku li bon a
ukulifaka	u ku li fak a
ukulindiswa	u ku lind is w a
ukulisebenzisa	u ku li sebenz is a
ukulithi	u ku li thi
ukulokhu	u ku lokhu
ukulungisa	u ku lung is a
ukuma	u ku m a
ukumbheka	u ku m bhek a
ukumbona	u ku m bon a
ukumbuka	u ku mbuk a
ukumchazela	u ku m chaz el a
ukumenza	u ku m enz a
ukumfaka	u ku m fak a
ukuminyana	u ku miny an a
ukumkharaza	u ku m kharaz a
ukumluma	u ku m lum a
ukumthola	u ku m thol a
ukumzuma	u ku m zum a
ukunakekelwa	u ku nak ek el w a
ukuncokola	u ku ncokol a
ukungabaza	u ku nga baz a
ukungabi	u ku nga b i
ukungalumi	u ku nga lum i
ukungayi	u ku nga y i
ukungcofa	u ku ngcof a
ukungena	u ku ngen a
ukungenzela	u ku ng enz el a
ukungibona	u ku ngi bon a
ukungihlolela	u ku ngi hlol el a
ukungihlupha	u ku ngi hluph a
ukungishisa	u ku ngi sh is a
ukungithumba	u ku ngi thumb a
ukungithungathela	u ku ngi thungath el a
ukungithungisa	u ku ngi thung is a
ukungqumuza	u ku ngqumuz a
ukunqobile	u ku nqob ile
ukuntula	u ku ntul a
ukunyakaza	u ku nyakaz a
ukuphakela	u ku phakel a
ukuphambana	u ku phamban a
ukuphatha	u ku phath a
ukuphazanyiswa	u ku phazany is w a
ukupheka	u ku phek a
ukuphekela	u ku phek el a
ukuphela	u ku phel a
ukuphenduka	u ku phenduk a
ukuphenya	u ku pheny a
ukuphi	u ku phi
ukuphikisana	u ku phik is an a
ukuphulukundlela	u ku phulukundlel a
ukuphuma	u ku phum a
ukuphumula	u ku phumul a
ukuphumulela	u ku phumulel a
ukuphupha	u ku phuph a
ukuqagela	u ku qagel a
ukuqamba	u ku qamb a
ukuqashelwa	u ku qash el w a
ukuqhuba	u ku qhub a
ukuqonda	u ku qond a
ukuqundeka	u ku qund ek a
ukusa	u ku s a
ukusangana	u ku sang an a
ukusebenza	u ku sebenz a
ukusebenzela	u ku sebenz el a
ukusebenzisa	u ku sebenz is a
ukusenga	u ku seng a
ukushalazele	u ku shalaz el e
ukushaya	u ku shay a
ukushaywa	u ku shay w a
ukushekelela	u ku shekelel a
ukushiya	u ku shiy a
ukusho	u ku sho
ukushumayela	u ku shumayel a
ukusintinyela	u ku si ntinyel a
ukusiwa	u ku s iw a
ukusiza	u ku siz a
ukusizakala	u ku siz akal a
ukusola	u ku sol a
ukusuka	u ku suk a
ukuthatha	u ku thath a
ukuthathwa	u ku thath w a
ukuthelwa	u ku thel w a
ukuthenga	u ku theng a
ukuthi	u ku thi
ukuthini	u ku thi ni
ukuthinta	u ku thint a
ukuthola	u ku thol a
ukutholakala	u ku tholakal a
ukutholaphi	u ku thol a phi
ukuthuthukisa	u ku thuthuk is a
ukuthuthwa	u ku thuth w a
ukutshela	u ku tshel a
ukuuhlikihla	u ku u hlikihl a
ukuvevezela	u ku vevezel a
ukuvuka	u ku vuk a
ukuwabona	u ku wa bon a
ukuwafundisa	u ku wa fund is a
ukuwahlikihla	u ku wa hlikihl a
ukuwavimba	u ku wa vimb a
ukuwuhlikihla	u ku wu hlikihl a
ukuwuphendula	u ku wu phendul a
ukuwusebenzisa	u ku wu sebenz is a
ukuxabana	u ku xaban a
ukuxhasa	u ku xhas a
ukuxolisa	u ku xol is a
ukuxoshwa	u ku xosh w a
ukuxoxaxoxa	u ku xoxaxox a
ukuya	u ku y a
ukuyengwa	u ku yeng w a
ukuyibizela	u ku yi biz el a
ukuyibona	u ku yi bon a
ukuyichaza	u ku yi chaz a
ukuyichazela	u ku yi chaz el a
ukuyifunisisa	u ku yi fun isis a
ukuyikhipha	u ku yi khiph a
ukuyilanda	u ku yi land a
ukuyingena	u ku yi ngen a
ukuyisebenzisa	u ku yi sebenz is a
ukuyizwa	u ku yi zw a
ukuyobamba	u ku yo bamb a
ukuyofakelwa	u ku yo fak el w a
ukuyofunda	u ku yo fund a
ukuyojika	u ku yo jik a
ukuza	u ku z a
ukuze	u kuze, ukuze
ukuzenza	u ku zenz a
ukuzenzela	u ku z enz el a
ukuzibuka	u ku zi buk a
ukuzidelisa	u ku zidel is a
ukuzifihla	u ku zi fihl a
ukuzifikisela	u ku zi fik is el a
ukuzikhunga	u ku zi khung a
ukuzilalela	u ku zi lal el a
ukuzimisela	u ku zi mis el a
ukuziphambanisa	u ku zi phamban is a
ukuziphatha	u ku zi phath a
ukuzipheka	u ku zi phek a
ukuziphoxa	u ku ziphox a
ukuziqhenya	u ku zi qheny a
ukuzisola	u ku zisol a
ukuzizwa	u ku ziz w a
ukuzuza	u ku zuz a
ukuzwa	u ku zw a
ukuzwela	u ku zw el a
ukuzwisisa	u ku zw isis a
ukwakha	u kw akh a
ukwala	u kw al a
ukwanda	u kw and a
ukwazi	u kw azi
ukwedlulisa	u kw edlul is a
ukweneka	u kw enek a
ukwenza	u kw enz a
ukwenze	u kw enz e
ukwenzela	u kw enz el a
ukwenzenjani	u kw enz e njani
ukwesaba	u kw esab a
ukwesula	u kw esul a
ukwethembana	u kw ethemb an a
ukwethenjwa	u kw ethenj w a
ulaka	u laka
ulale	u lal e
ulalele	u lalel e
ulamana	u lam an a
ulengisa	u leng is a
ulethe	u leth e
ulibambe	u li bamb e
ulibele	u libel e
ulifundile	u li fund ile
uligodle	u li godl e
uligqibile	u li gqib ile
ulimi	u limi
ulindele	u lind el e
ulingana	u ling an a
ulingene	u ling en e
uliphiwe	u li ph iw e
ulivila	u li vila
ulizzy	u lizzy
ulokhu	u lokhu
ulubeke	u lu bek e
ulungisa	u lung is a
ulunya	u luny a
uluteza	u lu tez a
uma	uma
umabatha	u mabatha
umacbeth	u macbeth
umakhala	u makhala
umakoti	u makoti
umama	u mama
umamba	u m amba
umamdunge	u m amdunge, u mamdunge
umamlaba	u ma mlaba
umamncube	u ma m ncube
umamshengu	u mamshengu
umamsibi	u ma msibi
umane	u mane
umangubane	u mangubane
umanhlengethwa	u manhlengethwa
umanzi	u ma nzi
umanzuza	u manzuza
umashiyakukhalwa	u ma shiy a ku khal w a
umashu	u mashu
umasibisi	u masibisi
umathanda	u ma thand a
umathezimpukane	u ma thez i m pukane
umbala	u m bala
umbelesele	u m belesel e
umbhali	u m bhal i
umbhede	u m bhede
umbhele	u m bhele
umbhoshongo	u m bhoshongo
umbhulelo	u m bhulel o
umbingelela	u m bingelel a
umbize	u m biz e
umbobo	u m bobo
umbokodwe	u m bokodwe
umbolonjana	u m bolonj ana
umbuso	u m bus o
umbuze	u m buz e
umbuzo	u m buz o
umcabango	u m cabang o
umchilo	u m chil o, u m chilo
umculo	u m cul o
umdaka	u m daka
umdala	u m dala
umdelwa	u m del w a
umdlaka	u m dlaka
umdlalo	u m dlal o
umendo	u mendo
umenzele	u m enz el e
umeromo	u meromo
umfana	u m f ana, u m fana
umfaniseni	u m fan is e ni
umfazi	u m fazi
umfelokazi	u m f el o kazi
umfo	u m fo
umfokazane	u m fokaz ane
umfokazi	u m fo kazi
umfowenu	u m fo w enu
umfowethu	u m fo w ethu
umfundi	u m fund i
umfundisi	u m fund is i
umgcagco	u m gcagc o
umgcinisikhwama	u mgcinisikhwama
umgexo	u m gex o
umgobhozi	u m gobhoz i
umgqibelo	u m gqibel o
umgqiki	u m gqiki
umgwaqo	u m gwaqo
umhanjelwa	u m hanj el w a
umhlaba	u m hlaba
umhlabahlangana	u m hlaba hlangan a
umhlabathi	u m hlabathi
umhlane	u mhlane
umhlangano	u m hlangano
umhlashana	u m hlash ana
umhleko	u m hlek o
umhlobo	u m hlobo
umhlophe	u m hlophe
umhluphelani	u m hluph el a ni
umhlwazimamba	u m hlwaz i mamba
umholi	u m hol i
umkakhe	u m ka khe
umkakho	u m ka kho
umkami	u m kami
umkankwanyana	u m kankwany ana
umkhaba	u m khaba
umkhaya	u m khaya
umkhi	u m khi
umkhize	u m khize
umkhondo	u m khondo
umkhonto	u m khonto
umkhulu	u m khulu
umkhumbi	u m khumbi
umkhumbuza	u m khumbuz a
umlabalaba	u m labalaba
umlambo	u m lambo
umlandela	u m landel a
umlangeni	u m lang eni
umlenze	u m lenze
umlilo	u m lilo
umlomo	u m lomo
umlungu	u m lungu
ummbila	u m mbila
ummeli	u m m el i
umndeni	u m ndeni
umnewethu	u m ne w ethu
umngane	u m ngane
umnika	u m nik a
umnikelo	u m nik el o
umninikho	u m nini kho
umnotho	u m noth o
umntakankomo	u m nta ka n komo
umntanakhe	u m ntana khe
umntanomntanakhe	u m ntan o m ntana khe
umntanomuntu	u m ntan o mu ntu
umntwana	u m ntw ana
umnu	u m nu
umnumzane	u m numzane
umnyama	u mnyama
umnyango	u m nyango
umonakalo	u m on akal o
umoya	u moya
umphefumulo	u m phefumul o
umphongolo	u m phongolo
umpontshi	u m pontshi
umqondo	u m qond o
umsebenzi	u m sebenz i
umshado	u m shad o
umshana	u m shana
umshini	u m shini
umsindo	u m sind o
umsizi	u m siz i
umthakathi	u m thakath i
umthamo	u m thamo
umthandazo	u m thandaz o
umthembu	u m thembu
umthetho	u mthetho
umthwalo	u m thwal o
umtshela	u m tshel a
umtshele	u m tshel e
umufi	u mu f i
umugqa	u mu gqa
umuntu	u mu ntu
umunyu	u munyu
umusa	u mu sa
umuthi	u mu thi
umuzi	u mu zi
umuzwe	u mu zwe
umyeni	u m yeni
umzimba	u m zimba
umzinyathi	u m zi nyathi
umzumbe	u m zumbe
umzwile	u m zw ile
unamanga	u n a ma nga
unatana	u natana
unawo	u na wo
unayikosiyayi	u na y i kosi ya yi
undodana	u ndod ana
undumezulu	u ndumezulu
unebhandishi	u n e bhandishi
unekhanda	u n e khanda
unelinye	u n e li nye
unelungelo	u n e lungel o
unemali	u n e mali
unembeza	u nembeza
unemibuzo	u n e mi buzo
unengalo	u n e n galo
unenhlanhla	u n e n hlanhla
unenhliziyo	u n e n hliziyo
unesaba	u n esab a
unesi	u nesi
ungaba	u nga b a
ungabe	u ngabe
ungabhala	u nga bhal a
ungabhaleli	u nga bhal el i
ungabhayizi	u nga bhayiz i
ungabulali	u nga bulal i
ungabuza	u nga buz a
ungafika	u nga fik a
ungagqoka	u nga gqok a
ungaka	u ngaka
ungakatholi	u nga ka thol i
ungakawutholi	u nga ka wu thol i
ungakhali	u nga khal i
ungakwazi	u nga kw az i
ungakwenza	u nga kw enz a
ungalimaza	u nga limaz a
ungamazi	u nga m azi
ungamtshela	u nga m tshel a
ungangenzi	u nga ng enz i
ungangikhaleli	u nga ngi khalel i
ungangitsheli	u nga ngi tshel i
ungangivomela	u nga ngi vom el a
ungangizwisisi	u nga ngi zw isis i
unganiguleli	u nga ni gul el i
ungaphansi	u nga phansi
ungaphezulu	u nga phezulu
ungaphika	u nga phik a
ungaphla	u ngaphla
ungaphola	u nga phol a
ungaphumeleli	u nga phumelel i
ungashiswa	u nga sh is w a
ungasho	u nga sho
ungasiphici	u nga si phic i
ungasisiza	u nga si siz a
ungasweleka	u nga swel ek a
ungathi	u nga thi
ungathini	u nga thi ni
ungathola	u nga thol a
ungavumelani	u nga vumel a ni
ungavumi	u nga vum i
ungawazi	u nga w azi
ungawutholi	u nga wu thol i
ungaxoshelwa	u nga xosh el w a
ungaxoshwa	u nga xosh w a
ungaya	u nga y a
ungayibona	u nga yi bon a
ungayitshela	u nga yi tshel a
ungazane	u nga zan e
ungazange	u nga zange
ungazi	u ng azi
ungazifaka	u nga zi fak a
ungazikhathazi	u nga zi khathaz i
ungazisobozela	u nga zi soboz el a
ungcobo	u ngcobo
ungcono	u ngcono
ungemcashele	u nge m cash el e
ungene	u ngen e
ungenile	u ngen ile
ungenwe	u ngen w e
ungesaba	u ng esab a
ungesabi	u ng esab i
ungichazela	u ngi chaz el a
ungicibele	u ngi cib el e
ungihlolelani	u ngi hlol el a ni
ungikhalela	u ngi khal el a
ungikhiphe	u ngi khiph e
ungikholwe	u ngi khol w e
ungikhombisile	u ngi khomb is ile
ungikhululela	u ngi khulul el a
unginike	u ngi nik e
ungiphathe	u ngi phath e
ungishisa	u ngi sh is a
ungithanda	u ngi thand a
ungitheni	u ngi th e ni
ungithumeleni	u ngi thum el e ni
ungitshela	u ngi tshel a
ungitshele	u ngi tshel e
ungizwe	u ngi zw e
ungizwisa	u ngi zw is a
ungqiphothwe	u ngqiphothwe
ungubani	u ng u bani
ungukuphela	ungukuphela
ungumfundisi	u ng u m fund is i
ungumfundisii	u ng u m fund isi i
ungumholi	u ng u m hol i
ungumseshi	u ng u m sesh i
ungumthakathi	u ng u m thakath i
ungumuntu	u ng u mu ntu
ungundwandwe	u ngundwandwe
ungunkalimba	u ng u nkalimba
ungunobhala	u ng u no bhal a
unguntombi	u ng u n tombi
unguyise	u nguyise
ungwenya	u ngwenya
unhlengethwa	u nhlengethwa
unina	u nina
unje	u nje
unjengoyihlo	u njeng o yihlo
unjimbinjimbi	u njimbinjimbi
unkabi	u n kabi
unkala	u n kala
unkezo	u n kezo
unkomo	u n komo
unkosazana	u n kos az ana
unkulavele	u nkulavele
unkulunkulu	u nkulunkulu
unkwanyana	u nkwany ana
unobu	u n o bu
unogwaja	u nogwaja
unomhlanjana	u n o m hlanj ana
unomusa	u n o mu sa
unosimilo	u n o si mil o
unosiphela	u n o siphela
unovalo	u n o valo
unozimanga	u n o zi manga
unozwengaye	u n o zwengaye
unqaba	u nqab a
unqoba	u nqob a
unsumpa	u nsumpa
unswinswinswi	u nswinswinswi
untombazana	u ntombazana
untombazi	u ntomb azi
untombi	u n tombi
untombini	u n tombi ni
untshangase	u ntshangase
untuli	u ntuli
unxazisuka	unxazisuka
unyawo	u nyawo
unyembezi	u nyembezi
unyoko	u nyoko
upetrus	u petrus
upha	u ph a
uphakamisa	u phakam is a
uphakathwayo	u phakath w a yo
uphalafini	u phalafini
uphaphama	u phapham a
uphaphanyiswa	u phaphany is w a
uphathanisela	u phathanisel a
uphelela	u phel el a
uphelile	u phel ile
uphendule	u phendul e
uphethe	u pheth e
uphethwe	u pheth w e
uphi	u phi
uphikelele	u phikelel e
uphinda	u phind a
uphindele	u phind el e
uphuma	u phum a
uphume	u phum e
uphumule	u phumul e
uphuza	u phuz a
upunda	upunda
uqale	u qal e
uqaphele	u qaphel e
uqedile	u qed ile
uqhamuka	u qhamuk a
uqhamukephi	u qhamuk e phi
uqhathanisa	u qhath an is a
uqhoshe	u qhosh e
uqhube	u qhub e
uqhubeka	u qhub ek a, u qhubek a
uqhubeke	u qhub ek e
uqiliga	u qilig a
uqinela	u qin el a
uqinisa	u qin is a
uqinisile	u qin is ile
uqobo	u qobo
uqonda	u qond a
uqonde	u qond e
uqoveqove	u qoveqove
uqwabe	u qwabe
usaba	u sa b a
usabhuquza	u sa bhuquz a
usabuya	u sa buy a
usabuyisa	u sa buy is a
usafa	u sa f a
usagcwele	u sa gcwel e
usakukhumbula	u sa ku khumbul a
usale	u sal e
usalindele	u sa lindel e
usalokhu	u sa lokhu
usambeke	u sa m bek e
usangiphindisela	u sa ngi phind is el a
usangithinta	u sa ngi thint a
usaphila	u sa phil a
usaqhubeka	u sa qhub ek a
usasho	u sa sho
usasukumela	u sa sukum el a
usathane	u sathane
usathenga	u sa theng a
usathibile	u sa thib ile
usavuma	u sa vum a
usayicabanga	u sa yi cabang a
usazobuya	u sa zobuy a
usazohamba	u sa zo hamb a
usazolandela	u sa zo land el a
usazoncengeka	u sa zo nceng ek a
usazoyifunda	u sa zo yi fund a
useba	u s eb a
usebabuthile	u se ba buth ile
usebenza	u sebenz a
usebhekabhekile	u se bhek a bhek ile
usebonwe	u se bon w e
usebuyile	u se buy ile
usefana	u se fan a
usefika	u se fik a
usefile	u se f ile
usefunda	u se fund a
usegalele	u se gal el e
usegugile	u se gug ile
usehambela	u s e hamb el a
usehlulekile	u se hlulek ile
usekhohliwe	u se khohl iw e
usekholishi	u se kholishi
usekhulile	u se khul ile
uselele	u se lel e
uselungiselela	u se lung is el el a
useluqotho	u se lu qotho
usemncane	u se m ncane
usengagoqana	u se nga goq an a, u se nga goqan a
usengcono	u se ngcono
usenomunye	u se n o mu nye
usenza	u s enz a
usenze	u s enz e
usephazamisekile	u se phazam is ek ile
usephenduka	u se phenduk a
usephumule	u se phumul e
usesebaleni	u se se bal eni
useshonephi	u se shon e phi
useshonile	u se shon ile
usesilungwini	u se si lungw ini
usethuthile	u se thuth ile
usetshenziselwa	u setshenz is el w a
usevukile	u se vuk ile
usewenze	u se w enz e
useyajuluka	u se ya juluk a
useyambulala	u se ya m bulal a
useyaqeda	u se ya qed a
useyashweleza	u se ya shwelez a
useyasukuma	u se ya sukum a
useyayazi	u se ya y azi
useyayizwa	u se ya yi zw a
useyaziwa	u se y az iw a
useyesabeka	u se y esab ek a
useyibeke	u se yi bek e
useyifundile	u se yi fund ile
useyindoda	u se y i n doda
useyisusile	u se yi sus ile
useyixoxe	u se yi xox e
useyokuzwa	u se yo ku zw a
useyoqala	u se yo qal a
useyoyivula	u se yo yi vul a
useyozifunela	u se yo zi fun el a
useyozithola	u se yo zi thol a
usezame	u se zam e
useze	u se ze
usezimisele	u se zi m is el e
usezoyithola	u se zo yi thol a
usezukeke	u se zukek e
usezwa	u sez w a
usezwile	u se zw ile
ushaka	u shaka
ushanti	u shanti
ushayekile	u shay ek ile
usheshe	u shesh e
ushevu	u shevu
ushilo	u sh ilo
ushintshi	u shintshi
ushiye	u shiy e
ushonephi	u shon e phi
ushonile	u shon ile
ushoti	u shot i
ushunqisa	u shunq is a
usibhamu	u si bhamu
usigaxamabhande	u si gax a ma bhande
usigodo	u si godo
usigonyela	u si gony el a
usikhuni	u si khuni
usikhwama	u sikhwama
usiphekele	u si phek el e
usipho	u si ph o
usiphuthumise	u si phuthum is e
usishiya	u si shiy a
usista	u sista
usitholaphi	u si thol a phi
usithole	u si thol e
usithumele	u si thum el e
usixoxele	u si xoxel e
usiza	u siz a
usize	u siz e
usizi	u sizi
usizo	u siz o
uskhemelayi	u skhemelayi
usofa	u sofa
usola	u sol a
usolongi	u solongi
usombenyase	u so mbeny a se
usoniwe	u s on iw e
usudinda	u s u dind a
usuhambe	u s u hamb e
usuhlanganisiwe	u s u hlangan is iw e
usuhlebeke	u s u hleb ek e
usuka	u suk a
usuke	u suk e
usukhule	u s u khul e
usuku	u suku
usukushaya	u s u ku shay a
usulapha	u s u lapha
usulu	u sulu
usumlethele	u s u m leth el e
usungabona	u s u nga bon a
usungafunga	u s u nga fung a
usungahamba	u s u nga hamb a
usungamahlamvu	u s u ng a ma hlamvu
usungayeka	u s u nga yek a
usungumpetha	usungumpetha
usunje	usunje
usuphehlwa	u s u phehl w a
usuphunyula	u s u phunyul a
usuphuthumise	u s u phuthum is e
ususendleleni	u s u se n dlel eni
usushada	u s u shad a
usushaye	u s u shay e
ususikhipha	u s u si khiph a
usuthi	u suthi
usuvale	u s u val e
usuvamile	u s u vam ile
usuyakwazi	u s u ya kw azi
usuyalwa	u s u y al w a
usuyangithanda	u s u ya ngi thand a
usuyayazi	u s u ya y azi
usuyifuna	u s u yi fun a
usuza	u suz a
usuze	u s u z e, u suz e
utajewo	u tajewo
utangwembe	u tangwembe
utewu	u tewu
uthanda	u thand a
uthandazela	u thandaz el a
uthandelani	u thand el a ni
uthando	u thand o
uthatha	u thath a
uthathe	u thath e
uthe	u th e
uthembi	u themb i
uthenga	u theng a
uthengelwe	u theng el w e
uthengise	u theng is e
utheni	u th e ni
uthi	u thi
uthibile	u thib ile
uthini	u thi ni
uthisha	u thisha
uthishomkhulu	u thish o m khulu
uthokozile	u thokoz ile
utholakele	u thol akel e
uthuke	u thuk e
uthul	u thul
uthuli	u thuli
uthunywe	u thuny w e
uthuthuva	u thuthuv a
uthwale	u thwal e
utom	u tom
utozi	u tozi
utshani	u tshani
utshwala	u tshwala
uvakashelaphi	u vakashel a phi
uvalelise	u valelis e
uvalo	u valo
uvamise	u vamis e
uvele	u vele
uvemvane	u vemvane
uvimbile	u vimb ile
uvula	u vul a
uvulekile	u vul ek ile
uvulela	u vul el a
uwaca	u waca
uwafundisela	u wa fund is el a
uwalungisela	u wa lung is el a
uwamumethe	u wa mumeth e
uwashaya	u wa shay a
uwenzeni	u w enz e ni
uwufuna	u wu fun a
uwuhenqele	u wu henq el e
uwumise	u wu m is e
uwunikwe	u wu nik w e
uwuthengile	u wu theng ile
uxaba	u xab a, u xaba
uxhume	u xhum e
uxhwatha	u xhwath a
uxibuyisele	u xibuy is el e
uxolo	u xolo
uxulu	u xulu
uya	u y a
uyabaleka	u ya ba lek a, u ya balek a
uyabheda	u ya bhed a
uyabhula	u ya bhul a
uyabona	u ya bon a
uyabonakala	u ya bon akal a
uyabulawa	u ya bulaw a
uyadabuka	u ya dabuk a
uyadlala	u ya dlal a
uyafihla	u ya fihl a
uyafika	u ya fik a
uyafunda	u ya fund a
uyafundekela	u ya fundekel a
uyagcizelela	u ya gcizel el a
uyagqigqizela	u ya gqigqizel a
uyagquma	u ya gqum a
uyagula	u ya gul a
uyahamba	u ya hamb a
uyahishwa	u ya hish w a
uyahlaba	u ya hlab a
uyahlanya	u ya hlany a
uyahlekisa	u ya hlek is a
uyahogela	u ya hogel a
uyakhala	u ya khal a
uyakhwishiza	u ya khwishiz a
uyakukhumbula	u ya ku khumbul a
uyakumlobela	u ya ku m lob el a
uyakuzwa	u ya ku zw a
uyakwazi	u ya kw azi
uyalala	u ya lal a
uyalazi	u ya l azi
uyalilahla	u ya li lahl a
uyalinganisa	u ya lingan is a
uyaludinga	u ya lu ding a
uyamchwensa	u ya m chwens a
uyamgcina	u ya m gcin a
uyamphuzisa	u ya m phuz is a
uyamvikela	u ya m vik el a
uyancishana	u ya ncish an a
uyangcweka	u ya ngcwek a
uyaphana	u ya ph an a
uyaphela	u ya phel a
uyaphi	u y a phi
uyaphupha	u ya phuph a
uyaqala	u ya qal a
uyasazi	u ya s azi
uyasebenza	u ya sebenz a
uyathakathwa	u ya thakath w a
uyathengisa	u ya theng is a
uyawabala	u ya wa bal a
uyawabuka	u ya wa buk a
uyawazi	u ya w azi
uyaye	u ya y e
uyayidinga	u ya yi ding a
uyayiphika	u ya yi phik a
uyayithanda	u ya yi thand a
uyazama	u ya zam a
uyazi	u y azi
uyazibonela	u ya zi bon el a
uyazibuza	u ya zi buz a
uyazifunda	u ya zi fund a
uyazikhohlisa	u ya zi khohl is a
uyazimonyonga	u ya zi monyong a
uyaziphendula	u ya zi phendul a
uye	u y e
uyebo	u yebo
uyebolekile	u ye bolek ile
uyehle	u y ehl e
uyeka	u yek a
uyeke	u yek e
uyesabeka	u y esab ek a
uyeza	u y ez a
uyezwa	u y ezw a
uyibeka	u yi bek a
uyibhekisisa	u yi bhek isis a
uyifunda	u yi fund a
uyifunde	u yi fund e
uyihlo	u yihlo
uyihlozala	u yi hlozal a
uyikhombisa	u yi khomb is a
uyiliphi	u yi li phi
uyindoda	u yindoda
uyinkosikazi	u y i n kosi kazi
uyinto	u y i n to
uyiqhweba	u yi qhweb a
uyisangoma	u y i s angoma
uyise	u yise
uyishiye	u yi shiy e
uyishonisephi	u yi shon is e phi
uyisidalwa	u y i si dal w a
uyisigwili	u y i si gwili
uyisiphukuphuku	u y i si phuku phuku
uyisithandwa	u y i si thand w a
uyisiwula	u y i si wula
uyisuse	u yi sus e
uyithengise	u yi theng is e
uyitshele	u yi tshel e
uyiveza	u yi vez a
uyizwa	u yi zw a
uyobafaka	u yo ba fak a
uyobona	u yo bon a
uyocela	u yo cel a
uyochaza	u yo chaz a
uyodideka	u yo did ek a
uyofihlelwa	u yo fihl el w a
uyogcina	u yo gcin a
uyohamba	u yo hamb a
uyohlala	u yo hlal a
uyokutshela	u yo ku tshel a
uyokwazi	u yo kw azi
uyokwenza	u yo kw enz a
uyokwenzenjani	u yo kw enz e njani
uyolala	u yo lal a
uyomane	u yo mane
uyongedusa	u yo ng edus a
uyongixolela	u yo ngi xol el a
uyophilisa	u yo phil is a
uyoshada	u yo shad a
uyosho	u yo sho
uyosithela	u yo si thel a, u yo sithel a
uyothi	u yo thi
uyothini	u yo thi ni
uyothula	u yo thul a
uyowuthathaphi	u yo wu thath a phi
uyoxoshwa	u yo xosh w a
uyoyinquma	u yo yi nqum a
uyoze	u yo z e, u yo ze
uza	u z a
uzace	u zac e
uzakumchitha	u za ku m chith a
uzalwa	u zal w a
uzama	u zam a
uzame	u zam e
uzanele	u zanele
uzazi	u z azi
uze	u z e
uzenza	u z enz a
uzenze	u z enz e
uzenzelwa	u z enz el w a
uzethu	u zethu
uzibheke	u zi bhek e
uzibizele	u zi biz el e
uzidonsela	u zi dons el a
uzihlabe	u zi hlab e
uzihlalele	u zi hlal ele
uzilalele	u zi lalel e
uzileleni	u zi lel e ni
uzilile	u zi lil e
uzimelele	u zi mel el e
uziphekele	u zi phek el e
uziphethe	u zi pheth e
uziphume	u zi phum e
uziqunga	u zi qung a
uzithenge	u zi theng e
uzobona	u zo bon a
uzobuyela	u zo buy el a
uzocasha	u zo cash a
uzochotshiswa	u zo chotsh is w a
uzodlula	u zo dlul a
uzofela	u zo f el a
uzofike	u zo fik e
uzohlala	u zo hlal a
uzokhala	u zo khal a
uzokhula	u zo khul a
uzokhuphuka	u zo khuphuk a
uzokuba	u zo ku b a
uzokubingelela	u zo ku bingelel a
uzokunqoba	u zo ku nqob a
uzokwakhiwa	u zo kw akh iw a
uzokwemuka	u zo kw emuk a
uzokwenzenjani	u zo kw enz e njani
uzolijwayela	u zo li jwayel a
uzomangala	u zo mangal a
uzombulala	u zo m bulal a
uzomdlisa	u zo m dl is a
uzomthola	u zo m thol a
uzondi	u zondi
uzongihlasela	u zo ngi hlasel a
uzongishiya	u zo ngi shiy a
uzongithethisa	u zo ngi theth is a
uzongizwa	u zo ngi zw a
uzophaphama	u zo phapham a
uzophila	u zo phil a
uzophuma	u zo phum a
uzophumelela	u zo phumelel a
uzophumula	u zo phumul a
uzophupha	u zo phuph a
uzosala	u zo sal a
uzosusa	u zo sus a
uzothengisa	u zo theng is a
uzothi	u zo thi
uzoxola	u zo xol a
uzoxolisa	u zo xol is a
uzoyibiza	u zo yi biz a
uzozibangela	u zo zi bang el a
uzozichaza	u zo zi chaz a
uzozikhunga	u zo zi khung a
uzozithela	u zo zi thel a
uzozumeka	u zo zum ek a
uzumekele	u zumekel e
uzwide	u zwide
uzwile	u zw ile
vele	vele
vilakazi	vila kazi
vo	vo
vuka	vuk a
vuyiswa	vuy is w a
waba	w a b a
wababaza	w a babaz a
wabachazela	w a ba chaz el a
wabahola	w a ba hol a
wabakhona	w a b a kho na
wabaleka	w a balek a
wabambana	w a bamb an a
wabaninda	w a ba nind a
wabantwana	w a ba ntw ana, w a ba ntwana
wabanyonkoloza	w a ba nyonkoloz a
wabaqulela	w a b a qulel a
wabe	w abe
wabeka	w a bek a
wabenzela	w a b enz el a
wabhala	w a bhal a
wabheka	w a bhek a
wabika	w a bik a
wabingelela	w a bingelel a
wabiza	w a biz a
wabo	wa bo
wabona	w a bon a
wabonakalisa	w a bon akal is a
wabonga	w a bong a
wabuka	w a buk a
wabulala	w a bulal a
wabuya	w a buy a
wabuye	w a buy e, w a buye
wabuza	w a buz a
wacabanga	w a cabang a
wacabangela	w a cabangel a
wacela	w a cel a
wachaza	w a chaz a
wachela	w a chel a
waciba	w a cib a
wacondebezela	w a condebez el a
wacosha	w a cosh a
wacwebezela	w a cwebezel a
wadi	wadi
wadla	w a dl a
wadlala	w a dlal a
wadlubulundela	w a dlubulund el a
wadlulisa	w a dlul is a
wadonsa	w a dons a
wadukluza	w a dukluz a
wadumela	w a dumel a
wafica	w a fic a
wafika	w a fik a
wafike	w a fik e
wafikelwa	w a fik el w a
wafisa	w a fis a
